댓글갯수,댓글 성실도,쿠팡비율,댓글 길이 평균,리뷰 작성 일수,알바여부
92,0.0217391304347826,0.8152173913043478,17.5,13,1
50,0.94,0.94,217.38297872340425,27,1
3,0.6666666666666666,0.6666666666666666,592.0,2,1
855,0.8783625730994152,0.2947368421052631,129.5179760319574,182,1
579,0.7996545768566494,0.1485319516407599,54.48596112311015,142,1
270,0.7814814814814814,0.4,160.59241706161137,88,1
112,0.1339285714285714,0.7321428571428571,13.533333333333331,37,1
566,0.8533568904593639,0.3445229681978798,84.99585921325051,171,1
281,0.6192170818505338,0.0213523131672597,67.40229885057471,65,1
407,0.8820638820638821,0.5675675675675675,241.1309192200557,145,1
1117,0.7636526410026858,0.1181736794986571,112.03868698710434,72,1
607,0.5963756177924218,0.800658978583196,225.4696132596685,149,1
565,0.6265486725663717,0.2920353982300885,92.71468926553672,49,1
362,0.7237569060773481,0.2265193370165746,122.912213740458,80,1
898,0.7683741648106904,0.0590200445434298,77.75652173913043,109,1
168,0.8392857142857143,0.1309523809523809,109.9290780141844,33,1
177,0.5649717514124294,0.6045197740112994,184.69,70,1
516,0.3488372093023256,0.5949612403100775,106.85,43,1
1785,0.7910364145658263,0.0868347338935574,76.59206798866856,255,1
501,0.9021956087824352,0.5369261477045908,307.35176991150445,128,1
1305,0.8950191570881226,0.2850574712643678,126.77311643835615,271,1
13,0.3076923076923077,0.5384615384615384,183.25,4,1
533,0.624765478424015,0.2776735459662289,241.66066066066065,89,1
28,0.8571428571428571,0.0714285714285714,66.0,15,1
1624,0.8349753694581281,0.1779556650246305,109.5759587020649,194,1
576,0.8993055555555556,0.1631944444444444,110.79343629343629,67,1
66,0.7727272727272727,0.0303030303030303,92.72549019607844,40,1
698,0.8868194842406877,0.5544412607449857,394.1599353796446,209,1
34,0.9117647058823528,0.3823529411764705,205.0,21,1
588,0.9251700680272108,0.272108843537415,240.0698529411765,98,1
504,0.6587301587301587,0.6091269841269841,120.35240963855422,81,1
112,0.9107142857142856,0.3839285714285714,109.30392156862744,44,1
110,0.6272727272727273,0.1727272727272727,87.15942028985508,24,1
555,0.9315315315315316,0.2810810810810811,243.1508704061896,92,1
447,0.7293064876957495,0.3646532438478747,151.77607361963192,88,1
613,0.8417618270799347,0.2969004893964111,153.66860465116278,147,1
280,0.9678571428571427,0.2035714285714285,168.0258302583026,131,1
14,0.6428571428571429,0.8571428571428571,109.11111111111111,7,1
808,0.9344059405940596,0.6262376237623762,528.2741721854304,215,1
55,0.0727272727272727,0.7636363636363637,64.5,7,1
15,0.9333333333333332,0.9333333333333332,303.0,3,1
2257,0.8666371289322109,0.0447496677004873,78.29141104294479,168,1
515,0.9009708737864076,0.574757281553398,350.35991379310343,150,1
144,0.0069444444444444,0.8402777777777778,27.0,6,1
61,0.8852459016393442,0.360655737704918,71.48148148148148,21,1
1090,0.9018348623853212,0.3889908256880734,269.36826042726346,242,1
379,0.7493403693931399,0.2664907651715039,154.04225352112675,112,1
366,0.8278688524590164,0.0765027322404371,91.016501650165,136,1
1860,0.8548387096774194,0.0016129032258064,70.5056603773585,162,1
36,0.0,0.6666666666666666,0.0,4,1
630,0.8412698412698413,0.3634920634920635,566.6830188679245,118,1
158,0.7911392405063291,0.0443037974683544,166.048,30,1
162,0.8024691358024691,0.1419753086419753,85.27692307692308,46,1
504,0.6587301587301587,0.6091269841269841,120.35240963855422,81,1
1367,0.7922457937088515,0.0365764447695683,76.06925207756233,64,1
124,0.8467741935483871,0.0,97.24761904761904,35,1
2560,0.87109375,0.003125,73.11210762331838,239,1
447,0.7293064876957495,0.3646532438478747,151.77607361963192,88,1
979,0.9090909090909092,0.0990806945863125,77.5752808988764,125,1
85,0.788235294117647,0.2941176470588235,131.11940298507463,27,1
15,1.0,0.0,175.26666666666668,5,1
105,0.5714285714285714,0.3904761904761905,137.4,21,1
1695,0.8672566371681416,0.1421828908554572,88.1374149659864,186,1
1086,0.7504604051565378,0.3195211786372007,145.2920245398773,252,1
20,0.8,0.3,147.1875,10,1
107,0.5700934579439252,0.5607476635514018,127.65573770491804,33,1
615,0.7121951219512195,0.5430894308943089,196.2123287671233,131,1
474,0.9050632911392406,0.1835443037974683,266.2237762237762,152,1
396,0.7702020202020202,0.1388888888888889,116.23934426229508,97,1
851,0.7320799059929495,0.0399529964747356,74.40930979133226,97,1
74,0.7567567567567568,0.3648648648648648,158.28571428571428,27,1
427,0.9508196721311476,0.6323185011709602,313.6330049261084,122,1
186,0.9193548387096774,0.2365591397849462,103.2046783625731,80,1
149,0.7583892617449665,0.4228187919463087,217.1681415929204,59,1
69,0.2898550724637681,0.6231884057971014,86.4,18,1
52,0.5769230769230769,0.3461538461538461,189.2333333333333,22,1
1637,0.7947464874770922,0.0555894929749541,74.36049192928516,214,1
3,0.6666666666666666,0.6666666666666666,18.0,2,1
164,0.0121951219512195,0.5975609756097561,11.5,85,1
280,0.9678571428571427,0.2035714285714285,168.0258302583026,131,1
132,0.9621212121212122,0.1666666666666666,112.88188976377953,30,1
212,0.8773584905660378,0.0754716981132075,109.40860215053765,43,1
59,0.864406779661017,0.0169491525423728,101.49019607843135,11,1
268,0.9104477611940298,0.3955223880597014,184.844262295082,93,1
350,0.9114285714285716,0.1771428571428571,99.5141065830721,51,1
1569,0.7839388145315488,0.2275334608030592,102.94065040650406,254,1
66,0.7121212121212122,0.0454545454545454,149.74468085106383,17,1
319,0.5799373040752351,0.1755485893416928,155.23783783783784,79,1
277,0.6967509025270758,0.0072202166064981,73.53886010362694,67,1
8,0.125,0.625,79.0,1,1
1425,0.8217543859649122,0.1908771929824561,112.86507258753204,174,1
808,0.9344059405940596,0.6262376237623762,528.2741721854304,215,1
78,0.4871794871794871,0.4487179487179487,172.73684210526315,26,1
588,0.9251700680272108,0.272108843537415,240.0698529411765,98,1
35,0.4571428571428571,0.0571428571428571,80.5,17,1
120,0.9,0.2416666666666666,551.6018518518518,18,1
649,0.6425269645608629,0.3081664098613251,94.65707434052756,58,1
1064,0.8571428571428571,0.2772556390977443,235.6315789473684,153,1
366,0.7103825136612022,0.3797814207650273,159.08846153846153,73,1
167,0.8862275449101796,0.2514970059880239,132.9527027027027,91,1
63,0.8571428571428571,0.0793650793650793,97.46296296296296,16,1
105,0.5714285714285714,0.3904761904761905,137.4,21,1
504,0.8988095238095238,0.0992063492063492,110.560706401766,97,1
979,0.9090909090909092,0.0990806945863125,77.5752808988764,125,1
495,0.8949494949494949,0.6323232323232323,155.7607223476298,139,1
13,0.3076923076923077,0.5384615384615384,183.25,4,1
231,0.8095238095238095,0.1645021645021645,110.70053475935828,55,1
179,0.7318435754189944,0.1620111731843575,89.83969465648855,27,1
96,0.03125,0.78125,11.666666666666666,7,1
271,0.8450184501845018,0.2140221402214022,243.0436681222708,91,1
884,0.8947963800904978,0.5859728506787331,333.3236409608091,242,1
124,0.6129032258064516,0.3548387096774194,117.97368421052632,31,1
1715,0.7912536443148688,0.0524781341107871,76.93294030950626,218,1
774,0.8113695090439277,0.3023255813953488,96.44108280254775,155,1
635,0.7590551181102362,0.3826771653543307,122.0207468879668,136,1
256,0.8046875,0.296875,207.7961165048544,68,1
581,0.7435456110154905,0.4647160068846815,169.83796296296296,154,1
255,0.8980392156862745,0.6039215686274509,135.96943231441048,121,1
14,0.6428571428571429,0.8571428571428571,109.11111111111111,7,1
101,0.7227722772277227,0.3663366336633663,201.4109589041096,29,1
30,0.8666666666666667,0.5,443.0384615384616,5,1
388,0.7731958762886598,0.1391752577319587,116.59,95,1
642,0.6869158878504673,0.0685358255451713,138.23809523809524,147,1
223,0.7354260089686099,0.0582959641255605,181.1158536585366,39,1
60,0.4333333333333333,0.9,490.1538461538461,9,1
861,0.8815331010452961,0.1138211382113821,115.91040843214756,72,1
59,0.9661016949152542,0.4915254237288136,170.98245614035088,24,1
72,0.1805555555555555,0.7777777777777778,16.692307692307693,15,1
2670,0.8441947565543071,0.1367041198501872,112.1086956521739,172,1
203,0.3004926108374384,0.5467980295566502,142.327868852459,36,1
685,0.8905109489051095,0.5547445255474452,395.7409836065574,206,1
20,0.95,0.2,166.1578947368421,15,1
695,0.9179856115107914,0.5568345323741007,171.88401253918497,177,1
702,0.7834757834757835,0.5854700854700855,218.3581818181818,197,1
322,0.9192546583850932,0.3478260869565217,183.27702702702703,108,1
524,0.6564885496183206,0.5858778625954199,118.625,84,1
45,0.6888888888888889,0.0444444444444444,90.03225806451613,23,1
516,0.3488372093023256,0.5949612403100775,106.85,43,1
25,0.08,0.84,14.5,6,1
69,0.4927536231884058,0.0579710144927536,97.08823529411764,22,1
1064,1.0,0.2772556390977443,204.02255639097743,153,1
20,0.95,0.0,112.52631578947368,8,1
36,0.0,0.6666666666666666,0.0,4,1
45,0.2222222222222222,0.5777777777777777,101.3,19,1
54,0.3888888888888889,0.6666666666666666,122.71428571428572,18,1
43,0.6976744186046512,0.0465116279069767,89.6,21,1
405,0.0098765432098765,0.9135802469135802,44.75,20,1
46,0.8913043478260869,0.1304347826086956,84.5609756097561,23,1
183,0.5901639344262295,0.0109289617486338,65.10185185185185,42,1
122,0.6065573770491803,0.360655737704918,114.20270270270272,29,1
14,0.6428571428571429,0.8571428571428571,109.11111111111111,7,1
48,0.9583333333333334,0.2083333333333333,203.30434782608697,21,1
321,0.7570093457943925,0.1744548286604361,120.63374485596708,44,1
1054,0.8282732447817837,0.3472485768500948,178.2290950744559,216,1
19,0.9473684210526316,0.2631578947368421,274.05555555555554,6,1
103,0.7184466019417476,0.0,63.54054054054054,33,1
67,0.8955223880597015,0.0,71.15,20,1
1719,0.5125072716695753,0.0593368237347294,135.62315550510783,221,1
319,0.5799373040752351,0.1755485893416928,155.23783783783784,79,1
841,0.8299643281807372,0.4233055885850178,152.5243553008596,104,1
212,0.4481132075471698,0.6415094339622641,146.94736842105263,47,1
285,0.9087719298245616,0.3789473684210526,184.4208494208494,97,1
210,0.719047619047619,0.5285714285714286,236.09271523178808,79,1
53,0.9622641509433962,0.5660377358490566,439.80392156862746,23,1
174,0.0,0.603448275862069,0.0,62,1
281,0.6192170818505338,0.0213523131672597,67.40229885057471,65,1
7,1.0,0.5714285714285714,308.1428571428572,5,1
5,0.0,0.6,0.0,2,0
142,0.8098591549295775,0.908450704225352,1116.7217391304348,64,0
6,0.0,0.6666666666666666,0.0,1,0
14,0.0714285714285714,0.8571428571428571,62.0,4,0
26,0.1538461538461538,0.6538461538461539,55.5,5,0
3,0.3333333333333333,1.0,9.0,1,0
18,0.0,0.3888888888888889,0.0,4,0
76,0.0,0.8421052631578947,0.0,4,0
18,0.0,0.8333333333333334,0.0,2,0
30,0.0,0.7666666666666667,0.0,6,0
77,0.974025974025974,0.4415584415584415,18.25333333333333,26,0
34,0.088235294117647,0.7647058823529411,96.33333333333331,6,0
8,0.125,0.625,13.0,2,0
67,0.0149253731343283,0.7164179104477612,71.0,2,0
33,0.0,0.5151515151515151,0.0,1,0
46,0.0,0.782608695652174,0.0,5,0
90,0.0,0.9,0.0,9,0
45,0.1333333333333333,0.7777777777777778,14.0,4,0
